Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,TNT,0.3,,0.2,,,,,,,,,,,8,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,TWC,0.3,,0.4,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0600A-0900A,USA,,,,,,,,,,,,,,12,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,AEN,,,,,,,,,,,,,,18,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,BET,0.2,,0.3,,,,,,,,,,,12,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,BRVO,,,,,,,,,,,,,,12,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,CNN,0.2,,0.1,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,ESPN,0.1,,0,,,,,,,,,,,18,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,FAM,0.2,,0.5,,,,,,,,,,,5,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,FOOD,0.2,,0.3,,,,,,,,,,,12,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,FXNC,0.9,,1,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,HGTV,0.2,,0.2,,,,,,,,,,,18,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,LIF,0.3,,0.1,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,TBS,0.1,,0.1,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,TLC,0.1,,0.2,,,,,,,,,,,10,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,TNT,0.7,,1.3,,,,,,,,,,,15,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,TWC,0.2,,0.3,,,,,,,,,,,10,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0900A-0400P,USA,0.5,,0.4,,,,,,,,,,,20,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,AEN,0.4,,0.5,,,,,,,,,,,25,,,
