Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
WWL,,M,0800P-0900P,Scorpion,,4,,,,,,5.8,68.9,,,,,1200,,10/6/14,12/29/14
WWL,,M,0900P-1000P,NCIS: LA,,8,,,,,,12.1,65.8,,,,,1325,,10/6/14,12/29/14
WWL,,T,0700P-0800P,NCIS,,12.6,,,,,,19.5,64.5,,,,,2000,,10/7/14,12/30/14
WWL,,T,0800P-0900P,NCIS: New Orleans,,17.4,,,,,,24.4,71.5,,,,,2000,,10/7/14,12/30/14
WWL,,T,0900P-1000P,Person of Interest,,9,,,,,,13.4,66.9,,,,,1300,,10/7/14,12/30/14
WWL,,W,0700P-0800P,Survivor,,8.5,,,,,,13.3,63.9,,,,,1475,,10/1/14,12/31/14
WWL,,W,0800P-0900P,Criminal Minds,,7.6,,,,,,11.2,68,,,,,1325,,10/1/14,12/31/14
WWL,,W,0900P-1000P,Stalker,,7.3,,,,,,11.3,64.8,,,,,1100,,10/1/14,12/31/14
WWL,,R,0700P-0800P,Big Bang/The Millers,,7.8,,,,,,12.7,61.2,,,,,1325,,10/30/14,12/25/14
WWL,,R,0800P-0900P,Two & a Half Men/The McCarthy`s,,5.3,,,,,,7.8,67.5,,,,,1350,,10/30/14,12/25/14
WWL,,R,0900P-1000P,Elementary,,5.6,,,,,,9,62.2,,,,,1000,,10/30/14,12/25/14
WWL,,F,0700P-0800P,Amazing Race,,6.7,,,,,,11.7,57.7,,,,,875,,10/3/14,12/26/14
WWL,,F,0800P-0900P,Hawaii Five-O,,7.4,,,,,,12.1,60.8,,,,,1000,,10/3/14,12/26/14
WWL,,F,0900P-1000P,Blue Bloods,,9.5,,,,,,15.2,62.4,,,,,1900,,10/3/14,12/26/14
WWL,,A,0700P-0800P,Comedytime Saturday,,4.3,,,,,,7.9,55.1,,,,,325,,10/4/14,12/27/14
WWL,,A,0800P-0900P,Crimetime Saturday,,4.3,,,,,,7.9,53.9,,,,,425,,10/4/14,12/27/14
WWL,,A,0900P-1000P,48 Hours,,4.9,,,,,,9.2,53.6,,,,,550,,10/4/14,12/27/14
WWL,,U,0600P-0700P,60 Minutes,,6.2,,,,,,8.9,69.6,,,,,1375,,10/5/14,12/28/14
WWL,,U,0700P-0800P,Madam Secretary,,6.7,,,,,,9.2,73.2,,,,,1100,,10/5/14,12/28/14
WWL,,U,0800P-0900P,Good Wife,,5.3,,,,,,7,76.1,,,,,1100,,10/5/14,12/28/14
WWL,,U,0900P-1000P,CSI,,7.2,,,,,,10.9,65.9,,,,,775,,10/5/14,12/28/14
WWL,,Mon-Fri,1000P-1035P,Eyewitness News @ 10PM,,7.2,,,,,,13,55,,,,,850,,10/1/14,12/31/14
WWL,,A,1000P-1035P,Eyewitness News @ 10PM,,11.2,,,,,,20.6,54.7,,,,,575,,10/4/14,12/27/14
WWL,,U,1000P-1035P,Eyewitness News @ 10PM,,5.6,,,,,,9.8,57.3,,,,,575,,10/5/14,12/28/14
WWL,,Mon-Fri,1035P-1137P,Late Show w/ David Letterman,,3.1,,,,,,7.6,41,,,,,175,,10/1/14,12/31/14
WWL,,Mon-Fri,1137P-1210A,OMG! Insider,,1.6,,,,,,5.4,30.5,,,,,75,,10/1/14,12/31/14
WWL,,Mon-Fri,1210A-0105A,Late Late Show w/ Craig Ferguson,,0.8,,,,,,3.1,25.3,,,,,25,,10/1/14,12/31/14
WWL,,A,1035P-1135P,CSI: Miami,,4.6,,,,,,10.5,43.4,,,,,75,,10/4/14,12/27/14
WWL,,A,1135P-1235A,CSI: Miami,,2.4,,,,,,7.8,30.8,,,,,50,,10/4/14,12/27/14
WWL,,A,1235A-0105A,Inisde Edition Wknd,,1.8,,,,,,6.6,26.9,,,,,25,,10/4/14,12/27/14
WWL,,A,0105A-0205A,Private Practice,,1.4,,,,,,6.3,21.5,,,,,25,,10/4/14,12/27/14
WWL,,U,1035P-1105P,4th Down on Four,,3.5,,,,,,7.1,49.8,,,,,500,,10/5/14,12/28/14
WWL,,U,1105P-1135P,Inside LSU Sports,,1.5,,,,,,4,36.7,,,,,150,,10/5/14,12/28/14
WWL,,U,1135P-1205A,Tulane Football Coach Show,,1,,,,,,3.6,29.3,,,,,150,,10/5/14,12/28/14
WWL,,U,1205A-1235A,In Depth with Graham Bensinger,,0.9,,,,,,4,23.5,,,,,25,,10/5/14,12/28/14
WWL,,U,1235A-0135A,Tim McCarver Show,,0.8,,,,,,4.2,19.3,,,,,25,,10/5/14,12/28/14
WWL,,U,0105A-0205A,Private Practice,,0.9,,,,,,5.5,17,,,,,25,,10/5/14,12/28/14
WWL,,Mon-Fri,0205A-0305A,Dr. Oz Replay,,0.2,,,,,,1.4,14.4,,,,,25,,10/1/14,12/31/14
WWL,,F,0305A-0405A,Kickin It,,0.1,,,,,,1.7,8.4,,,,,25,,10/3/14,12/26/14
WWL,,A,0530A-0600A,Today`s Homeowner,,1.1,,,,,,5.7,18.4,,,,,25,,10/4/14,12/27/14
WWL,,A,0205A-0305A,Da Vinci`s Inquest,,1,,,,,,6,15.9,,,,,25,,10/4/14,12/27/14
WWL,,A,0205A-0305A,Da Vinci`s Inquest,,1,,,,,,6,15.9,,,,,25,,10/4/14,12/27/14
WWL,,A,0405A-0435A,Motion,,0.6,,,,,,6.8,8.5,,,,,25,,10/4/14,12/27/14
WWL,,U,0235A-0430A,CBS Up to the Minute,,1.2,,,,,,12,10.3,,,,,25,,10/5/14,12/28/14
WWL,,U,0405A-0435A,Living it Up!,,1.3,,,,,,16.4,8.1,,,,,25,,10/5/14,12/28/14
WWL,,U,0435A-0505A,Hometime,,1.6,,,,,,20.4,7.8,,,,,25,,10/5/14,12/28/14
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,AEN,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,BET,,,,,,,,,,5,4,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,CNN,,,,,,,,,,5,4,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,ESPN,,,,,,,,,,5,4,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,FXNC,,,,,,,,,,5,4,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,HGTV,,,,,,,,,,2,1,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,LIF,,,,,,,,,,5,4,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,TBS,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,TLC,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,TNT,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,USA,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,0500A-1000A,TWC,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,AEN,,,,,,,,,,2,1,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,BET,,,,,,,,,,2,1,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,CNN,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,ESPN,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,FXNC,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,HGTV,,,,,,,,,,2,1,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,LIF,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,TBS,,,,,,,,,,2,1,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,TLC,,,,,,,,,,2,1,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,TNT,,,,,,,,,,2,1,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,USA,,,,,,,,,,2,1,,,,,,
Vyve,Westlake 1294,Mon-Sun,1000A-0400P,TWC,,,,,,,,,,2,1,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,AEN,,,,,,,,,,5,4,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,BET,,,,,,,,,,6,5,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,CNN,,,,,,,,,,6,5,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,ESPN,,,,,,,,,,8,6,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,FXNC,,,,,,,,,,8,6,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,HGTV,,,,,,,,,,5,4,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,LIF,,,,,,,,,,8,6,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,TBS,,,,,,,,,,8,6,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,TLC,,,,,,,,,,5,4,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,TNT,,,,,,,,,,8,6,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,USA,,,,,,,,,,8,6,,,,,,
Vyve,Westlake 1294,Mon-Sun,0400P-0800P,TWC,,,,,,,,,,3,2,,,,,,
Vyve,Westlake 1294,Mon-Sun,0800P-1200A,AEN,,,,,,,,,,6,5,,,,,,
Vyve,Westlake 1294,Mon-Sun,0800P-1200A,BET,,,,,,,,,,13,10,,,,,,
Vyve,Westlake 1294,Mon-Sun,0800P-1200A,CNN,,,,,,,,,,13,10,,,,,,
Vyve,Westlake 1294,Mon-Sun,0800P-1200A,ESPN,,,,,,,,,,13,10,,,,,,
Vyve,Westlake 1294,Mon-Sun,0800P-1200A,FXNC,,,,,,,,,,13,10,,,,,,
Vyve,Westlake 1294,Mon-Sun,0800P-1200A,HGTV,,,,,,,,,,9,7,,,,,,
Vyve,Westlake 1294,Mon-Sun,0800P-1200A,LIF,,,,,,,,,,13,10,,,,,,
Vyve,Westlake 1294,Mon-Sun,0800P-1200A,TBS,,,,,,,,,,13,10,,,,,,
Vyve,Westlake 1294,Mon-Sun,0800P-1200A,TLC,,,,,,,,,,6,5,,,,,,
